"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","502","Изменение поля авторизованного пользователя: name","tests","2026-07-20","passed","2026-07-20","TestUpdateUser","test_update_user","",""
"","1078","Создание заказа без авторизации с ингредиентами","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","test_create_order","",""
"","4296","Создание заказа с авторизацией и ингредиентами","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","test_create_order","",""
"","625","Авторизация существующего пользователя","tests","2026-07-20","passed","2026-07-20","TestLoginUser","test_login_user","",""
"","489","Изменение поля без авторизации: email","tests","2026-07-20","passed","2026-07-20","TestUpdateUser","test_update_user","",""
"","511","Создание пользователя без обязательного поля: email","tests","2026-07-20","passed","2026-07-20","TestCreateUser","test_create_user","",""
"","602","Авторизация с неверными учётными данными","tests","2026-07-20","passed","2026-07-20","TestLoginUser","test_login_user","",""
"","484","Создание пользователя без обязательного поля: password","tests","2026-07-20","passed","2026-07-20","TestCreateUser","test_create_user","",""
"","596","Изменение поля без авторизации: name","tests","2026-07-20","passed","2026-07-20","TestUpdateUser","test_update_user","",""
"","510","Создание пользователя без обязательного поля: name","tests","2026-07-20","passed","2026-07-20","TestCreateUser","test_create_user","",""
"","550","Создание уже зарегистрированного пользователя","tests","2026-07-20","passed","2026-07-20","TestCreateUser","test_create_user","",""
"","559","Изменение поля авторизованного пользователя: email","tests","2026-07-20","passed","2026-07-20","TestUpdateUser","test_update_user","",""
"","5747","Получение заказов авторизованного пользователя","tests","2026-07-20","passed","2026-07-20","TestGetUserOrders","test_get_user_orders","",""
"","538","Создание заказа без ингредиентов","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","test_create_order","",""
"","601","Изменение поля авторизованного пользователя: password","tests","2026-07-20","passed","2026-07-20","TestUpdateUser","test_update_user","",""
"","1738","Создание уникального пользователя","tests","2026-07-20","passed","2026-07-20","TestCreateUser","test_create_user","",""
"","516","Изменение поля без авторизации: password","tests","2026-07-20","passed","2026-07-20","TestUpdateUser","test_update_user","",""
"","548","Создание заказа с неверным хешем ингредиента","tests","2026-07-20","passed","2026-07-20","TestCreateOrder","test_create_order","",""
"","530","Получение заказов без авторизации","tests","2026-07-20","passed","2026-07-20","TestGetUserOrders","test_get_user_orders","",""
